epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,24121.1,0.85082,0.6679,2.0662,0.76797,0.77914,0.82308,0.71184,0.66464,0.9118,2.10287,0.003169,0.003169,0.003169
71,24466,0.84893,0.66249,2.05914,0.7998,0.76376,0.81555,0.71075,0.65311,0.95243,2.09511,0.00307,0.00307,0.00307
72,24812.6,0.83609,0.6503,2.04713,0.74048,0.78549,0.80431,0.70095,0.64543,0.98389,2.09343,0.002971,0.002971,0.002971
73,25157.2,0.83122,0.65834,2.04023,0.77343,0.76263,0.796,0.69146,0.64569,1.01103,2.07716,0.002872,0.002872,0.002872
74,25504.2,0.83561,0.65406,2.0563,0.74845,0.77119,0.79534,0.69307,0.65081,1.02269,2.07421,0.002773,0.002773,0.002773
75,25850.7,0.82538,0.64664,2.03729,0.73431,0.77567,0.79536,0.69476,0.64923,1.01208,2.0724,0.002674,0.002674,0.002674
76,26194.4,0.81547,0.64012,2.02709,0.73135,0.78075,0.7871,0.68807,0.65263,1.0682,2.07526,0.002575,0.002575,0.002575
77,26538.2,0.81035,0.63003,2.01026,0.74619,0.75473,0.78518,0.68266,0.65433,1.04973,2.07874,0.002476,0.002476,0.002476
78,26881.8,0.81262,0.63938,2.02896,0.72578,0.78787,0.78322,0.68235,0.65146,1.04457,2.07585,0.002377,0.002377,0.002377
79,27226.5,0.81106,0.63222,2.0331,0.76594,0.75053,0.78547,0.68486,0.65085,1.02442,2.07463,0.002278,0.002278,0.002278
80,27570.2,0.79814,0.62043,2.00438,0.77303,0.74934,0.78809,0.68777,0.65239,1.00574,2.0803,0.002179,0.002179,0.002179
81,27913.1,0.80079,0.6251,2.01113,0.78444,0.73456,0.78268,0.68401,0.65687,1.03396,2.08964,0.00208,0.00208,0.00208
82,28256.6,0.79973,0.62133,2.01289,0.73472,0.77699,0.78463,0.68481,0.65322,1.03914,2.08826,0.001981,0.001981,0.001981
83,28599.7,0.79752,0.6199,2.00773,0.71731,0.79249,0.78371,0.68473,0.65559,1.03378,2.08546,0.001882,0.001882,0.001882
84,28943,0.78742,0.6087,1.99309,0.73447,0.7898,0.78828,0.69083,0.65518,1.01742,2.08091,0.001783,0.001783,0.001783
85,29316.5,0.78558,0.6071,1.99685,0.72296,0.80233,0.78526,0.68502,0.6591,1.02036,2.08258,0.001684,0.001684,0.001684
86,29688.6,0.78132,0.60402,1.9956,0.72244,0.80044,0.78859,0.68899,0.65675,1.00927,2.08278,0.001585,0.001585,0.001585
87,30030.1,0.77055,0.59359,1.98142,0.75771,0.7655,0.79351,0.69501,0.65466,1.00162,2.08299,0.001486,0.001486,0.001486
88,30371.8,0.76741,0.5923,1.98087,0.74353,0.77171,0.79479,0.6971,0.65163,0.99712,2.08308,0.001387,0.001387,0.001387
89,30713,0.75833,0.59066,1.98097,0.75874,0.76932,0.80091,0.6997,0.6498,0.9945,2.08464,0.001288,0.001288,0.001288
90,31054.7,0.75826,0.58264,1.96473,0.7471,0.78202,0.79868,0.70045,0.64961,1.00154,2.08557,0.001189,0.001189,0.001189
91,31378.9,0.55375,0.36669,2.01409,0.74251,0.79124,0.80191,0.70283,0.64613,0.98584,2.07796,0.00109,0.00109,0.00109
92,31703.1,0.54124,0.35007,2.00273,0.75335,0.79673,0.80417,0.70591,0.64501,0.97876,2.07483,0.000991,0.000991,0.000991
93,32027.5,0.53222,0.34786,1.96283,0.76996,0.79337,0.80417,0.70701,0.6447,0.97338,2.06978,0.000892,0.000892,0.000892
94,32351.7,0.52386,0.3381,1.97248,0.76913,0.79653,0.8066,0.70976,0.64477,0.96917,2.06668,0.000793,0.000793,0.000793
95,32676.3,0.51818,0.33428,1.95126,0.76255,0.79756,0.80649,0.70844,0.64613,0.97087,2.06885,0.000694,0.000694,0.000694
96,33000.6,0.50976,0.32991,1.96331,0.76572,0.79433,0.80697,0.71045,0.64563,0.96826,2.06899,0.000595,0.000595,0.000595
97,33324.2,0.50472,0.32642,1.93442,0.76571,0.7917,0.80851,0.71144,0.64593,0.97191,2.07082,0.000496,0.000496,0.000496
98,33648.2,0.49839,0.32243,1.92036,0.75306,0.7945,0.80925,0.71131,0.64755,0.97233,2.07283,0.000397,0.000397,0.000397
99,33972.2,0.49577,0.32092,1.91522,0.76488,0.78492,0.81017,0.71267,0.64802,0.9745,2.07447,0.000298,0.000298,0.000298
100,34296.7,0.49647,0.32072,1.93315,0.76526,0.78341,0.81257,0.71598,0.64866,0.97782,2.07731,0.000199,0.000199,0.000199
